participant,AID_instruction,age_gender,notification,VGPQ_before,VGPQ_during,info_of_task,stroop,IGT,corsi,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.3cc80120-3b1f-4230-96f1-58bc3a017c43.txt,24914,5286,14415,60596,23706,6420,"","","",40171,2020-12-15-12-44,"",""
s.7f943f89-c187-422f-abf1-f99157a3738c.txt,29937,12114,6711,36517,21394,5485,"","","",141709,2020-12-11-17-47,2020-12-11-18-02,15
s.0f59bc03-a8bc-486f-8baa-c095b830aa33.txt,58714,8724,11113,63037,44538,6172,"","","",33452,2020-12-13-17-31,2020-12-13-17-44,13
s.04de4c57-01f5-4bd3-affb-fbc6a29b31d7.txt,1255077,9702,"","","","","","","",308864,2020-11-02-02-43,"",""
s.df0036e5-20c4-4b79-b171-aeb70bb888f5.txt,1756,4767,45033,"","","","","","",6548,2020-11-02-03-14,"",""
s.c0957ab4-101d-48f3-bf7f-075447d6a43b.txt,29994,9350,8387,59979,46974,2453,"","","",25122,2020-12-15-12-46,2020-12-15-12-59,13
s.9b43c676-112f-4714-a3dd-9b779c60ca23.txt,47757,12658,13707,44938,67754,5256,"","","",90214,2020-12-01-23-41,2020-12-01-23-53,12
s.aa6e57c1-2bf3-4da9-8f7f-aed6708b8b0b.txt,23651,23709,14639,118646,59158,5224,"","","",53911,2020-11-07-20-24,2020-11-07-20-43,19
s.82763c71-20f3-4ceb-bea5-4e901ea19198.txt,37037,7736,15381,79936,49403,7132,"","","",75227,2020-12-17-11-04,2020-12-17-11-17,13
s.07e304a4-3fdf-4db5-9e57-49d258f62715.txt,77305,9509,12437,99762,38592,2454,"","","",91209,2020-12-17-14-42,2020-12-17-14-55,13
s.b5ad2e1c-5ebb-4a38-b630-954e8d7976ea.txt,58173,5910,8723,41984,39319,5441,"","","",19749,2020-11-17-21-41,2020-11-17-21-53,12
s.18ae5740-1da1-4dd1-81c7-12a8515aa6c4.txt,29304,11686,9659,68484,19795,4248,"","","",52890,2020-12-11-14-24,2020-12-11-14-49,25
s.1b354d6c-01c3-45bd-95f1-1a6458dcd729.txt,48843,5383,15213,71317,29064,5418,"","","",103843,2020-12-14-07-06,2020-12-14-07-19,13
s.c35dca61-1423-47fd-8f23-ca2afdc0433c.txt,29715,21110,10035,113483,21162,7646,"","","",100515,2020-12-05-12-32,2020-12-05-12-47,15
s.08f9819a-0bdf-4e12-9d70-eeb08874fe95.txt,30524,5883,10206,183803,48639,46390,"","","",78659,2020-12-11-20-39,2020-12-11-20-54,15
s.c0e0ddf0-a189-4487-8e46-64ec5e844988.txt,52391,81160,43655,343211,47822,4349,"","","",2808452,2020-11-11-08-13,2020-11-11-08-32,19
s.c51361b0-dc51-46ce-ad63-f6d4deeb8446.txt,69149,11865,2586,61410,69767,4537,"","","",26520,2020-12-16-13-35,2020-12-16-13-56,21
s.21a7c517-b056-43a4-a507-971e5ac7d9e7.txt,22119,6796,4714,40214,30361,2426,"","","",17024,2020-12-11-11-39,2020-12-11-11-52,13
s.2747d3b6-138e-4cbd-9a5a-81ef89f7a7bd.txt,37262,9264,18339,70597,31751,2065,"","","",1369001,2020-11-06-12-10,2020-11-06-12-23,13
s.49f417f2-0a72-4f46-a603-237e7c787567.txt,30927,4274,7082,52904,12956,5907,"","","",30166,2020-12-11-16-07,2020-12-11-16-19,12
s.9baf4c15-e002-4b82-b530-0071ae01812a.txt,35939,5656,5454,43636,24125,3075,"","","",72199,2020-12-12-17-12,2020-12-12-17-23,11
s.a19d09e3-9a2c-4642-922d-04e67f0a36f7.txt,8314,9567,2595,61657,38823,5334,"","","",18432,2020-11-05-15-00,2020-11-05-15-13,13
s.bfee532d-c049-432f-9cfd-a11b5d4e0619.txt,47312,19232,9924,78329,53441,7900,"","","",233400,2020-11-18-12-09,2020-11-18-12-25,16
s.fae892de-0ba2-4e83-b00b-44c97454a7da.txt,45393,5528,12521,127376,47740,5577,"","","",53922,2020-12-12-18-08,2020-12-12-18-27,19
